Id,Question,Answer
0,2025年1月1日にアメリカのニューオーリンズで発生した事件について、犯人の国籍、使用された車の車種、死傷者数を教えてください。また、同日にラスベガスで発生した事件で使用された車の車種も教えてください。,2025年1月1日にアメリカ合衆国ルイジアナ州ニューオーリンズで発生した事件の犯人は42歳のアメリカ国籍の男でした。 使用されたピックアップトラックの車種は「フォード・F-150 ライトニング」です。 この事件では15人が死亡し約30人が負傷しました。 また、同日にネバダ州ラスベガスで発生した事件で使用されたピックアップトラックの車種は「テスラ・サイバートラック」です。
1,2025年1月にカナダのジャスティン・トルドー首相が辞任を表明した理由は何ですか？,カナダのジャスティン・トルドー首相が2025年1月6日に辞任を表明した理由は、インフレ対応による支持率低下や、現時点で少数与党で次の選挙で敗退が見込まれることです。
2,2025年4月4日に韓国で憲法裁判所により罷免された大統領は誰ですか？,2025年4月4日に韓国で憲法裁判所により罷免された大統領は尹錫悦（ユン・ソンニョル）氏です。
3,2025年2月7日に行われた日米首脳会談で、日本製鉄のUSスチール買収計画はどのように変更されましたか？,2025年2月7日に行われた日米首脳会談で、日本製鉄のUSスチール買収計画は多額の投資へと変更になりました。
4,オーストリアのカール・ネーハマー首相が辞任を表明したのはいつですか？,オーストリアのカール・ネーハマー首相が辞任を表明したのは2025年1月4日です。
5,2025年1月20日に就任したアメリカ合衆国の新しい大統領と副大統領はそれぞれ誰ですか？,2025年1月20日に就任したアメリカ合衆国の大統領はドナルド・トランプ氏、副大統領はJ・D・ヴァンス氏です。
6,2024年の世界の軍事費の情報から、2023年の世界の軍事費を算出してください。,2023年の世界の軍事費は約2兆4844.61億ドルです。 (計算：2兆7180億ドル / (1 + 0.094) = 2兆7180億ドル / 1.094 ≈ 2兆4844.606946983546億ドル)
7,2025年4月2日にアメリカのコリー・ブッカー上院議員が行った演説は何分間でしたか。,1505分。
8,2025年の韓国における尹錫悦大統領の一連の出来事について、非常戒厳令問題に端を発する拘束令状の請求と執行妨害、その後の逮捕、起訴、そして最終的な罷免に至るまでの経緯を、日付と共に時系列で詳しく説明してください。,"2025年の韓国における尹錫悦大統領の一連の出来事は以下の通りです。
1月3日： 前年12月3日の非常戒厳令問題に関して、合同捜査本部は昨年の12月31日に認可された尹錫悦大統領への拘束令状を執行するべく大統領公邸へ赴きましたが、大統領警護處の関係者に阻まれ執行を中止しました。  
1月7日： 韓国の合同捜査本部は1月6日に期限がきれた尹錫悦大統領の拘束令状の再請求を裁判所にし、認められました。  
1月10日： 韓国の大統領警護庁の朴鍾俊長官が1月3日に合同捜査本部の尹錫悦大統領への拘束令状執行を妨害した特殊公務執行妨害の容疑で出頭しました。  
1月15日： 大韓民国の尹錫悦大統領を拘束したと合同捜査本部が発表しました。  
1月19日： 大韓民国の高位公職者犯罪捜査処（公捜処）は、「非常戒厳」宣言を巡る内乱容疑で尹錫悦大統領を逮捕しました。現職大統領の逮捕は韓国史上初です。  
1月26日： 韓国の検察が尹錫悦大統領を内乱首謀の罪で起訴しました。韓国で現職大統領が起訴されるのは史上初です。  
3月7日： 韓国の裁判所が尹錫悦大統領の釈放を決定しました。釈放予定は3月8日です。  
3月8日： 韓国の尹錫悦大統領が釈放されました。尹大統領は2024年12月3日に戒엄령を発布したことで内乱罪に問われ、今年1月15日から53日間勾留されていました。  
4月4日： 韓国の大統領・尹錫悦氏が憲法裁判所により罷免されました。罷免は韓国史上２例目です。   "
9,2025年1月から4月の間に世界各地で発生した、死者を伴う主な自然災害（地震や山火事など）をリストアップし、それぞれの発生場所、日付、および死者数を記述してください。,"	1月7日： 中国チベット自治区でマグニチュード7.1の地震が発生しました。死者数は記載されていません。  
	1月7日： アメリカロサンゼルスで山火事が発生しました。死者数は記載されていません。  
	1月23日： ロサンゼルスの北約72キロに位置するキャスティーク湖近くで新たな山火事が発生しました。死者数は記載されていません。  
	3月28日： ミャンマーのマンダレー近郊を震源とするM7.7の地震が発生しました。死者数は記載されていません。  

"
10,トランプ大統領が2017年に署名した最初の大統領令の正式名称は何でしたか？,ジョー・バイデン前政権による大統領令78件を取り消す大統領令。
11,トランプ大統領が2019年にアメリカとメキシコの国境に建設を主張した壁の長さはおよそ何マイルでしたか？,トランプ大統領が2019年にアメリカとメキシコの国境に建設を主張した壁の長さはおよそ2000マイルでした。
12,東京オリンピック・パラリンピックの開催年はいつでしたか？,2021年
13,2019年の米朝首脳会談は、韓国の仲介によって実現しましたが、その会談はどこで開催されましたか？, ベトナム
14,1995年に発生した阪神・淡路大震災の震源地はどこでしたか？,淡路島北部、具体的には北緯34度36分、東経135度02分付近
